bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
77,0.9966358763827118,0.9711914641375222,0.037019152481435745,0.05806924721483862,0.4597323557414432,-0.2462990735777992,4.215125979315325,2.0385088125215876
78,0.9972775564409031,0.9654416123295791,0.03224633025295895,0.057319223874743926,-0.20491731062234175,0.25573458104609115,3.196302131955299,2.0440575452357868
79,0.9974431818181818,0.9606994665085952,0.03188231772643028,0.05688286110114247,-0.5938066457966986,0.36769209626403426,4.126966262182166,2.075632637483329
80,0.999016393442623,0.9496739774748074,0.02338899140065759,0.06040277931039859,-0.8708219785763047,-0.0868485292539351,3.7990469657125288,1.5816043486992752
81,0.9956415620641561,0.9678719620628334,0.03326564265740209,0.05841747477993271,0.0756684506358799,-0.09370607390147934,2.88846050775866,1.8231144118641642
82,0.9966616783699782,0.9662714878482513,0.03475755344927736,0.06136723849462256,-0.6795401200749263,-0.44021265962376854,3.2558491422597364,1.9870875717359202
83,0.9958242556281772,0.9604030823947837,0.03724121326711255,0.0577912630117475,-0.060434076209589384,-0.2286769027595647,3.229007966150683,2.004892602003973
84,0.9967479674796748,0.96443390634262,0.03730614921734019,0.059700141452488205,0.07064657125631636,0.17494348899072582,3.6945035918357307,2.3153519950436543
85,0.9945128779395297,0.9823355068168347,0.04035219497257696,0.05878958809608656,0.332900152808436,0.07195505057682426,3.2414042477031337,2.6073134345119673
86,0.9954005167958656,0.9655008891523414,0.038924006533868835,0.05741532409742993,-0.08121083139035461,-0.293695392852341,3.0420419213430367,1.9886405272082694
87,0.9971447543160691,0.9701837581505631,0.03635772432149192,0.05769279436175061,0.10168495755865047,0.06479339053764993,4.843748201537894,2.3105757769737436
88,0.9983054950375213,0.972139893301719,0.038249185482916705,0.05951980938872465,-0.7885339724599211,-0.17766303243365952,4.496171468683688,2.4761448972493034
89,0.9953277009728623,0.970539419087137,0.03835318657840634,0.05794675400905958,0.13601144935049078,0.13316158454605895,3.4244048147308357,2.3139854164694302
90,0.9978286384976525,0.9782454060462359,0.03508362592444082,0.06107516399744997,0.0986187718431048,-0.4538446807874667,3.7948793675461614,2.1800856469842986
